EF,S_init,reset_at_switch,cross_immunity_years,include_births,include_waning,S_eff_min,S_eff_max,S_eff_range,S_dom_min,S_dom_max,S_dom_range,log_S_eff_range,log_S_dom_range,gp_alpha_median,ratio_to_gp,explains_gp
8,0.5,FALSE,0,TRUE,TRUE,0.4866450530844548,0.5307551404646584,0.04411008738020361,0.477144171199782,0.5414459389018337,0.0643017677020517,0.08676577224303839,0.1264245347109364,0.30407597,0.41576627942989514,FALSE
8,0.5,TRUE,0,FALSE,FALSE,0.46506601745361337,0.5,0.03493398254638663,0.45918836363636356,0.5,0.04081163636363644,0.07242872989352733,0.08514759425105689,0.30407597,0.28002079299806854,FALSE
8,0.5,TRUE,0,TRUE,TRUE,0.47925643849387656,0.5135272204900905,0.03427078199621392,0.4709089440590196,0.527379934969085,0.056470990910065355,0.06906722132558873,0.113256477398465,0.30407597,0.3724611234438059,FALSE
8,0.75,FALSE,0,FALSE,FALSE,0.6744372480602344,0.75,0.07556275193976558,0.6703272727272711,0.75,0.0796727272727289,0.10619456996186688,0.11230714664927466,0.30407597,0.3693391051232186,FALSE
8,0.75,FALSE,0,TRUE,TRUE,0.7342556380355079,0.7735343384758,0.039278700440292136,0.7244472072232965,0.7855031163282018,0.061055909104905326,0.052112813980427664,0.0809155337766981,0.30407597,0.2661030195075859,FALSE
8,0.75,TRUE,0,FALSE,FALSE,0.7150660174536131,0.75,0.03493398254638691,0.7091883636363634,0.75,0.040811636363636605,0.04769833599573936,0.05595204019705574,0.30407597,0.18400678026960088,FALSE
8,0.75,TRUE,0,TRUE,TRUE,0.7278438919522809,0.7619881336164215,0.03414424166414054,0.7197433667429161,0.7742125784091262,0.054469211666210104,0.045844391812611074,0.0729517715952272,0.30407597,0.2399129783100822,FALSE
8,0.95,FALSE,0,FALSE,FALSE,0.8744372480602344,0.95,0.07556275193976558,0.8703272727272711,0.95,0.0796727272727289,0.08288145021750172,0.08759266813365237,0.30407597,0.28806178973515195,FALSE
8,0.95,FALSE,0,TRUE,TRUE,0.932269355694233,0.9683260960978204,0.03605674040358742,0.9222896360421063,0.980748858269294,0.05845922222718769,0.03794712549429957,0.061457107848964965,0.30407597,0.20211103116423496,FALSE
8,0.95,TRUE,0,FALSE,FALSE,0.9150660174536132,0.95,0.0349339825463868,0.9091883636363634,0.95,0.040811636363636605,0.03746577169923923,0.04390969116228399,0.30407597,0.14440368688878635,FALSE
8,0.95,TRUE,0,TRUE,TRUE,0.9267138547190046,0.9607568641174862,0.034043009398481594,0.9188109048900334,0.9716786931611597,0.05286778827112637,0.0360765348814284,0.055944847854519086,0.30407597,0.18398312715904216,FALSE
10,0.5,FALSE,0,FALSE,FALSE,0.4055465600752945,0.5,0.0944534399247055,0.4004090909090903,0.5,0.09959090909090967,0.2093724100641281,0.22212134667071337,0.30407597,0.7304797767173559,FALSE
10,0.5,FALSE,0,TRUE,TRUE,0.47721626786917337,0.521535297221778,0.04431902935260468,0.4646881152466626,0.5370512226039179,0.07236310735725532,0.08880717628399426,0.14472701590484138,0.30407597,0.4759567679907143,FALSE
10,0.5,TRUE,0,FALSE,FALSE,0.4563325218170166,0.5,0.04366747818298339,0.4489854545454543,0.5,0.0510145454545457,0.0913863401445223,0.1076176064263793,0.30407597,0.353916840013301,FALSE
